Tools,"Spencer, Cummings and Marvin",0.43,2018-04-20 03:21:48.186032Z
Toys,"Breitenberg, Lockman and Hills",3.163,2018-04-20 03:21:48.186032Z
Health,"Marquardt, Predovic and Harvey",8.273,2018-04-20 03:21:48.186032Z
Industrial,"Beer, Bogan and Schaden",6.823,2018-04-20 03:21:48.186032Z
Automotive,White Group,4.623,2018-04-20 03:21:48.186032Z
Home,Smith and Sons,9.233,2018-04-21 03:21:48.186032Z
Beauty,McKenzie-Block,8.27,2018-04-21 03:21:48.186032Z
Sports,Little Group,4.60,2018-04-21 03:21:48.186032Z
Beauty,"Metz, Stroman and Ratke",5.56,2018-04-21 03:21:48.186032Z
Books,"Lakin, Zulauf and Rau",8.47,2018-04-21 03:21:48.186032Z
Movies,Cruickshank-Adams,0.02,2018-04-21 03:21:48.186032Z
Computers,Connelly Group,4.22,2018-04-21 03:21:48.186032Z
Computers,Bednar-Nicolas,7.95,2018-04-21 03:21:48.186032Z
Movies,Ondricka-O'Connell,3.86,2018-04-21 03:21:48.186032Z
Grocery,Turcotte Inc,4.48,2018-04-21 03:21:48.186032Z
Automotive,Ryan-Raynor,5.54,2018-04-21 03:21:48.186032Z
Toys,"Bode, Treutel and Cartwright",4.36,2018-04-21 03:21:48.186032Z
Jewelery,Mayer-Nicolas,7.33,2018-04-22 03:21:48.186032Z
Automotive,Hammes LLC,0.15,2018-04-22 03:21:48.186032Z
Garden,Gleichner and Sons,9.84,2018-04-22 03:21:48.186032Z
Games,"Ullrich, Towne and O'Kon",2.16,2018-04-22 03:21:48.186032Z
Movies,"Okuneva, Schiller and Wunsch",8.14,2018-04-22 03:21:48.186032Z
Shoes,"Morissette, Jaskolski and Abernathy",3.41,2018-04-22 03:21:48.186032Z
Automotive,Jacobs LLC,6.78,2018-04-22 03:21:48.186032Z
Home,"Lemke, Gutmann and Kuvalis",1.65,2018-04-22 03:21:48.186032Z
Home,Anderson-Maggio,4.01,2018-04-22 03:21:48.186032Z
Home,"Greenfelder, Thompson and Hudson",9.51,2018-04-22 03:21:48.186032Z
Grocery,"Anderson, Emmerich and Wyman",7.46,2018-04-22 03:21:48.186032Z
Tools,"Quigley, O'Reilly and Carroll",2.03,2018-04-22 03:21:48.186032Z
Home,"Feest, Schmeler and Weber",7.08,2018-04-22 03:21:48.186032Z
Grocery,Daniel-Hahn,2.15,2018-04-23 03:21:48.186032Z
Games,"Dickens, VonRueden and Harris",5.13,2018-04-23 03:21:48.186032Z
Beauty,Metz-Doyle,3.46,2018-04-23 03:21:48.186032Z
Kids,Schuster-Swift,7.79,2018-04-23 03:21:48.186032Z
Computers,"Gleason, Block and Crist",4.48,2018-04-23 03:21:48.186032Z
Tools,Reynolds-Glover,2.56,2018-04-23 03:21:48.186032Z
Movies,O'Conner-Keeling,0.82,2018-04-23 03:21:48.186032Z
Computers,Wunsch and Sons,5.31,2018-04-23 03:21:48.186032Z
Kids,"Dicki, Hudson and Haag",3.16,2018-04-23 03:21:48.186032Z
Automotive,Erdman Group,1.19,2018-04-23 03:21:48.186032Z
Industrial,Simonis Inc,4.23,2018-04-23 03:21:48.186032Z
Electronics,Zulauf-Bergnaum,2.61,2018-04-23 03:21:48.186032Z
Movies,"Bins, Hickle and Tremblay",5.20,2018-04-23 03:21:48.186032Z
Toys,Lindgren LLC,7.96,2018-04-23 03:21:48.186032Z
Garden,"Lindgren, Christiansen and Crooks",4.44,2018-04-23 03:21:48.186032Z
Movies,"Mitchell, Haley and Tremblay",6.99,2018-04-23 03:21:48.186032Z
Clothing,"Hyatt, Gibson and Hettinger",4.21,2018-04-23 03:21:48.186032Z
Books,"Mayert, Shields and Mraz",2.95,2018-04-24 03:21:48.186032Z
Clothing,Roberts-Champlin,3.37,2018-04-24 03:21:48.186032Z
Home,Erdman-Kassulke,1.84,2018-04-24 03:21:48.186032Z
Music,"Moore, Zulauf and Rice",8.48,2018-04-24 03:21:48.186032Z
Tools,"Schmidt, Mueller and Mayer",3.21,2018-04-24 03:21:48.186032Z
Books,McKenzie Inc,7.10,2018-04-24 03:21:48.186032Z
Music,Little-Ledner,5.63,2018-04-24 03:21:48.186032Z
Music,Runolfsson-Bechtelar,6.66,2018-04-24 03:21:48.186032Z
Jewelery,"Armstrong, Walker and Sawayn",7.36,2018-04-24 03:21:48.186032Z
Baby,West and Sons,6.12,2018-04-24 03:21:48.186032Z
Clothing,Fisher-Kub,8.99,2018-04-24 03:21:48.186032Z
Toys,"Dicki, O'Keefe and Haag",6.30,2018-04-24 03:21:48.186032Z
Games,"Pollich, Jast and Doyle",9.36,2018-04-24 03:21:48.186032Z
Sports,"Corwin, Hodkiewicz and Bergnaum",4.01,2018-04-24 03:21:48.186032Z
Computers,Purdy-Kiehn,8.68,2018-04-25 03:22:48.186032Z
Automotive,"Lockman, Frami and Heathcote",1.32,2018-04-25 03:22:48.186032Z
Industrial,Borer Group,5.89,2018-04-25 03:22:48.186032Z
Electronics,"Boyer, Leuschke and Romaguera",0.16,2018-04-25 03:22:48.186032Z
Movies,Jaskolski-Prohaska,0.68,2018-04-25 03:22:48.186032Z
Movies,Hermann LLC,6.92,2018-04-25 03:22:48.186032Z
Shoes,Macejkovic Inc,0.57,2018-04-25 03:22:48.186032Z
Sports,Kohler-Leannon,5.54,2018-04-25 03:22:48.186032Z
Outdoors,"Stanton, McDermott and Wyman",9.69,2018-04-25 03:22:48.186032Z
Books,Lakin-Renner,8.55,2018-04-25 03:22:48.186032Z
Beauty,Keeling-Cole,6.55,2018-04-25 03:22:48.186032Z
Grocery,Schamberger and Sons,2.79,2018-04-25 03:22:48.186032Z
Industrial,"Ullrich, Rutherford and Mann",3.34,2018-04-25 03:22:48.186032Z
Toys,Tromp-Haley,0.63,2018-04-25 03:22:48.186032Z
Books,Klocko Inc,1.95,2018-04-25 03:22:48.186032Z
Electronics,Nader Group,8.63,2018-04-25 03:22:48.186032Z
Jewelery,Medhurst-Hettinger,8.45,2018-04-25 03:22:48.186032Z
Games,Grady Inc,3.02,2018-04-25 03:22:48.186032Z
Jewelery,Stroman Group,6.14,2018-04-25 03:22:48.186032Z
Games,Robel LLC,8.74,2018-04-25 03:22:48.186032Z
Computers,Bradtke Inc,2.10,2018-04-25 03:22:48.186032Z
Clothing,Rowe and Sons,2.82,2018-04-26 03:22:48.186032Z
Music,Balistreri Group,2.67,2018-04-26 03:22:48.186032Z
Health,Kirlin-Pacocha,5.56,2018-04-26 03:22:48.186032Z
Movies,Klein-Rodriguez,2.94,2018-04-26 03:22:48.186032Z
Clothing,Kessler Inc,5.66,2018-04-26 03:22:48.186032Z
Industrial,"Daniel, Gerlach and Rogahn",2.37,2018-04-26 03:22:48.186032Z
Beauty,Gottlieb Inc,4.98,2018-04-26 03:22:48.186032Z
Baby,Rosenbaum Inc,2.74,2018-04-26 03:22:48.186032Z
Kids,Marvin-Predovic,1.75,2018-04-26 03:22:48.186032Z
Shoes,Gleichner Inc,1.01,2018-04-26 03:22:48.186032Z
Tools,Gusikowski-Morar,4.50,2018-04-26 03:22:48.186032Z
Sports,Hyatt LLC,8.31,2018-04-26 03:22:48.186032Z
Grocery,Cole-Botsford,0.00,2018-04-26 03:22:48.186032Z
Automotive,Sipes LLC,5.91,2018-04-26 03:22:48.186032Z
Movies,Grimes and Sons,1.62,2018-04-26 03:22:48.186032Z
Computers,Ryan-MacGyver,1.39,2018-04-26 03:22:48.186032Z
Health,Conn Inc,8.91,2018-04-26 03:22:48.186032Z
Tools,"Farrell, Dickens and Gerhold",8.09,2018-04-26 03:22:48.186032Z
